,alpha,beta,MSE,MAE,R2
455,0.05,0.6,2664.667158,39.8227796,0.51811634
456,0.05,0.61,2657.232247,39.64621425,0.519460884
457,0.05,0.62,2655.16944,39.78671593,0.519833926
458,0.05,0.63,2656.948193,39.73668195,0.519512253
459,0.05,0.64,2659.848811,39.71732435,0.518987699
460,0.05,0.65,2655.177956,39.70297928,0.519832386
461,0.05,0.66,2640.436703,39.66470707,0.522498223
462,0.05,0.67,2671.041313,39.82622419,0.516963625
463,0.05,0.68,2647.276597,39.64620837,0.521261283
464,0.05,0.69,2678.34297,39.86681265,0.515643179
465,0.05,0.7,2656.318941,39.73108189,0.519626048
466,0.05,0.71,2670.402889,39.79823247,0.517079079
467,0.05,0.72,2665.241023,39.78993725,0.518012561
468,0.05,0.73,2678.48287,39.81685701,0.515617879
469,0.05,0.74,2656.229755,39.82864248,0.519642177
470,0.05,0.75,2656.88814,39.75173599,0.519523113
471,0.05,0.76,2665.564477,39.75507528,0.517954067
472,0.05,0.77,2669.78398,39.81034429,0.517191004
473,0.05,0.78,2671.563875,39.90152789,0.516869124
474,0.05,0.79,2669.369185,39.83648803,0.517266016
475,0.05,0.8,2659.76956,39.7419941,0.519002031
476,0.05,0.81,2648.081376,39.70489359,0.521115746
477,0.05,0.82,2644.698492,39.67667552,0.521727513
478,0.05,0.83,2657.468587,39.7667393,0.519418144
479,0.05,0.84,2640.519369,39.72746543,0.522483274
480,0.05,0.85,2659.415096,39.70539962,0.519066133
481,0.05,0.86,2650.507956,39.70591429,0.520676918
482,0.05,0.87,2661.458369,39.81617557,0.518696624
483,0.05,0.88,2660.921007,39.72571083,0.518793801
484,0.05,0.89,2670.32313,39.81327074,0.517093503
485,0.05,0.9,2665.38283,39.8116879,0.517986917
486,0.05,0.91,2647.640148,39.66075294,0.521195538
487,0.05,0.92,2659.049916,39.76418221,0.519132173
488,0.05,0.93,2657.703532,39.74359073,0.519375656
489,0.05,0.94,2645.685219,39.70886408,0.521549071
490,0.05,0.95,2674.55835,39.838174,0.516327597
491,0.05,0.96,2663.064734,39.78296347,0.518406126
492,0.05,0.97,2652.922306,39.72205961,0.520240302
493,0.05,0.98,2657.966222,39.71379639,0.519328151
494,0.05,0.99,2658.111485,39.71245142,0.519301881
495,0.06,0.01,2646.997762,39.62826701,0.521311709
